page_type,status,section_number,section,group,h1,seo_title_tag,meta_description,url_path,canonical_path,parent_url,breadcrumb,group_count,question_count,p1_question_count,schema_type,internal_link_targets,page_goal
section,planned,1,Motorcycle Buying Guide,,Motorcycle Buying Guide,Motorcycle Buying Guide | B2B Motorcycle FAQ,"Explore B2B motorcycle FAQ topics about motorcycle buying guide, including buyer questions, sourcing decisions, import risks, and RFQ preparation.",/faq/motorcycle-buying-guide/,/faq/motorcycle-buying-guide/,/faq/,FAQ Center > Motorcycle Buying Guide,6,60,17,CollectionPage,/faq/motorcycle-buying-guide/motorcycle-types/ | /faq/motorcycle-buying-guide/engine-displacement-selection/ | /faq/motorcycle-buying-guide/motorcycle-use-cases/ | /faq/motorcycle-buying-guide/road-condition-selection/ | /faq/motorcycle-buying-guide/fuel-motorcycle-vs-electric-motorcycle/ | /faq/motorcycle-buying-guide/model-selection-for-different-markets/,"Introduce the section, link to group pages, and surface high-intent P1 FAQs."
group,planned,1,Motorcycle Buying Guide,Motorcycle Types,Motorcycle Types,Motorcycle Types FAQ | B2B Motorcycle Guide,"B2B FAQ guide for motorcycle types: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and distributors.",/faq/motorcycle-buying-guide/motorcycle-types/,/faq/motorcycle-buying-guide/motorcycle-types/,/faq/motorcycle-buying-guide/,FAQ Center > Motorcycle Buying Guide > Motorcycle Types,0,10,3,CollectionPage,/faq/motorcycle-buying-guide/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,1,Motorcycle Buying Guide,Engine Displacement Selection,Engine Displacement Selection,Engine Displacement Selection FAQ | B2B Motorcycle Guide,"B2B FAQ guide for engine displacement selection: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and…",/faq/motorcycle-buying-guide/engine-displacement-selection/,/faq/motorcycle-buying-guide/engine-displacement-selection/,/faq/motorcycle-buying-guide/,FAQ Center > Motorcycle Buying Guide > Engine Displacement Selection,0,10,3,CollectionPage,/faq/motorcycle-buying-guide/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,1,Motorcycle Buying Guide,Motorcycle Use Cases,Motorcycle Use Cases,Motorcycle Use Cases FAQ | B2B Motorcycle Guide,"B2B FAQ guide for motorcycle use cases: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and distributors.",/faq/motorcycle-buying-guide/motorcycle-use-cases/,/faq/motorcycle-buying-guide/motorcycle-use-cases/,/faq/motorcycle-buying-guide/,FAQ Center > Motorcycle Buying Guide > Motorcycle Use Cases,0,10,3,CollectionPage,/faq/motorcycle-buying-guide/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,1,Motorcycle Buying Guide,Road Condition Selection,Road Condition Selection,Road Condition Selection FAQ | B2B Motorcycle Guide,"B2B FAQ guide for road condition selection: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and distributors.",/faq/motorcycle-buying-guide/road-condition-selection/,/faq/motorcycle-buying-guide/road-condition-selection/,/faq/motorcycle-buying-guide/,FAQ Center > Motorcycle Buying Guide > Road Condition Selection,0,10,2,CollectionPage,/faq/motorcycle-buying-guide/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,1,Motorcycle Buying Guide,Fuel Motorcycle vs Electric Motorcycle,Fuel Motorcycle vs Electric Motorcycle,Fuel Motorcycle vs Electric Motorcycle FAQ | B2B…,"B2B FAQ guide for fuel motorcycle vs electric motorcycle: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and…",/faq/motorcycle-buying-guide/fuel-motorcycle-vs-electric-motorcycle/,/faq/motorcycle-buying-guide/fuel-motorcycle-vs-electric-motorcycle/,/faq/motorcycle-buying-guide/,FAQ Center > Motorcycle Buying Guide > Fuel Motorcycle vs Electric Motorcycle,0,10,3,CollectionPage,/faq/motorcycle-buying-guide/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,1,Motorcycle Buying Guide,Model Selection for Different Markets,Model Selection for Different Markets,Model Selection for Different Markets FAQ | B2B Motorcycle…,"B2B FAQ guide for model selection for different markets: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and…",/faq/motorcycle-buying-guide/model-selection-for-different-markets/,/faq/motorcycle-buying-guide/model-selection-for-different-markets/,/faq/motorcycle-buying-guide/,FAQ Center > Motorcycle Buying Guide > Model Selection for Different Markets,0,10,3,CollectionPage,/faq/motorcycle-buying-guide/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
section,planned,2,Technical Specifications FAQ,,Technical Specifications FAQ,Technical Specifications FAQ | B2B Motorcycle FAQ,"Explore B2B motorcycle FAQ topics about technical specifications faq, including buyer questions, sourcing decisions, import risks, and RFQ preparation.",/faq/technical-specifications-faq/,/faq/technical-specifications-faq/,/faq/,FAQ Center > Technical Specifications FAQ,7,70,13,CollectionPage,/faq/technical-specifications-faq/engine-and-power-system/ | /faq/technical-specifications-faq/fuel-system/ | /faq/technical-specifications-faq/transmission-and-gearbox/ | /faq/technical-specifications-faq/brake-system/ | /faq/technical-specifications-faq/suspension-and-tires/ | /faq/technical-specifications-faq/fuel-consumption-and-performance/,"Introduce the section, link to group pages, and surface high-intent P1 FAQs."
group,planned,2,Technical Specifications FAQ,Engine & Power System,Engine & Power System,Engine & Power System FAQ | B2B Motorcycle Guide,"B2B FAQ guide for engine & power system: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and distributors.",/faq/technical-specifications-faq/engine-and-power-system/,/faq/technical-specifications-faq/engine-and-power-system/,/faq/technical-specifications-faq/,FAQ Center > Technical Specifications FAQ > Engine & Power System,0,10,2,CollectionPage,/faq/technical-specifications-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,2,Technical Specifications FAQ,Fuel System,Fuel System,Fuel System FAQ | B2B Motorcycle Guide,"B2B FAQ guide for fuel system: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and distributors.",/faq/technical-specifications-faq/fuel-system/,/faq/technical-specifications-faq/fuel-system/,/faq/technical-specifications-faq/,FAQ Center > Technical Specifications FAQ > Fuel System,0,10,2,CollectionPage,/faq/technical-specifications-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,2,Technical Specifications FAQ,Transmission & Gearbox,Transmission & Gearbox,Transmission & Gearbox FAQ | B2B Motorcycle Guide,"B2B FAQ guide for transmission & gearbox: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and distributors.",/faq/technical-specifications-faq/transmission-and-gearbox/,/faq/technical-specifications-faq/transmission-and-gearbox/,/faq/technical-specifications-faq/,FAQ Center > Technical Specifications FAQ > Transmission & Gearbox,0,10,1,CollectionPage,/faq/technical-specifications-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,2,Technical Specifications FAQ,Brake System,Brake System,Brake System FAQ | B2B Motorcycle Guide,"B2B FAQ guide for brake system: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and distributors.",/faq/technical-specifications-faq/brake-system/,/faq/technical-specifications-faq/brake-system/,/faq/technical-specifications-faq/,FAQ Center > Technical Specifications FAQ > Brake System,0,10,2,CollectionPage,/faq/technical-specifications-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,2,Technical Specifications FAQ,Suspension & Tires,Suspension & Tires,Suspension & Tires FAQ | B2B Motorcycle Guide,"B2B FAQ guide for suspension & tires: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and distributors.",/faq/technical-specifications-faq/suspension-and-tires/,/faq/technical-specifications-faq/suspension-and-tires/,/faq/technical-specifications-faq/,FAQ Center > Technical Specifications FAQ > Suspension & Tires,0,10,2,CollectionPage,/faq/technical-specifications-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,2,Technical Specifications FAQ,Fuel Consumption & Performance,Fuel Consumption & Performance,Fuel Consumption & Performance FAQ | B2B Motorcycle Guide,"B2B FAQ guide for fuel consumption & performance: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and…",/faq/technical-specifications-faq/fuel-consumption-and-performance/,/faq/technical-specifications-faq/fuel-consumption-and-performance/,/faq/technical-specifications-faq/,FAQ Center > Technical Specifications FAQ > Fuel Consumption & Performance,0,10,2,CollectionPage,/faq/technical-specifications-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,2,Technical Specifications FAQ,"Payload, Durability & Road Adaptability","Payload, Durability & Road Adaptability","Payload, Durability & Road Adaptability FAQ | B2B…","B2B FAQ guide for payload, durability & road adaptability: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers…",/faq/technical-specifications-faq/payload-durability-and-road-adaptability/,/faq/technical-specifications-faq/payload-durability-and-road-adaptability/,/faq/technical-specifications-faq/,"FAQ Center > Technical Specifications FAQ > Payload, Durability & Road Adaptability",0,10,2,CollectionPage,/faq/technical-specifications-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
section,planned,3,Import & Certification FAQ,,Import & Certification FAQ,Import & Certification FAQ | B2B Motorcycle FAQ,"Explore B2B motorcycle FAQ topics about import & certification faq, including buyer questions, sourcing decisions, import risks, and RFQ preparation.",/faq/import-and-certification-faq/,/faq/import-and-certification-faq/,/faq/,FAQ Center > Import & Certification FAQ,7,71,18,CollectionPage,/faq/import-and-certification-faq/import-documents/ | /faq/import-and-certification-faq/customs-clearance-requirements/ | /faq/import-and-certification-faq/eec-e-mark-coc-certification/ | /faq/import-and-certification-faq/epa-dot-nhtsa-compliance/ | /faq/import-and-certification-faq/homologation-and-type-approval/ | /faq/import-and-certification-faq/vin-wmi-registration-documents/,"Introduce the section, link to group pages, and surface high-intent P1 FAQs."
group,planned,3,Import & Certification FAQ,Import Documents,Import Documents,Import Documents FAQ | B2B Motorcycle Guide,"B2B FAQ guide for import documents: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and distributors.",/faq/import-and-certification-faq/import-documents/,/faq/import-and-certification-faq/import-documents/,/faq/import-and-certification-faq/,FAQ Center > Import & Certification FAQ > Import Documents,0,11,4,CollectionPage,/faq/import-and-certification-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,3,Import & Certification FAQ,Customs Clearance Requirements,Customs Clearance Requirements,Customs Clearance Requirements FAQ | B2B Motorcycle Guide,"B2B FAQ guide for customs clearance requirements: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and…",/faq/import-and-certification-faq/customs-clearance-requirements/,/faq/import-and-certification-faq/customs-clearance-requirements/,/faq/import-and-certification-faq/,FAQ Center > Import & Certification FAQ > Customs Clearance Requirements,0,10,3,CollectionPage,/faq/import-and-certification-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,3,Import & Certification FAQ,EEC / E-mark / COC Certification,EEC / E-mark / COC Certification,EEC / E-mark / COC Certification FAQ | B2B Motorcycle Guide,"B2B FAQ guide for eec / e-mark / coc certification: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and…",/faq/import-and-certification-faq/eec-e-mark-coc-certification/,/faq/import-and-certification-faq/eec-e-mark-coc-certification/,/faq/import-and-certification-faq/,FAQ Center > Import & Certification FAQ > EEC / E-mark / COC Certification,0,10,2,CollectionPage,/faq/import-and-certification-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,3,Import & Certification FAQ,EPA / DOT / NHTSA Compliance,EPA / DOT / NHTSA Compliance,EPA / DOT / NHTSA Compliance FAQ | B2B Motorcycle Guide,"B2B FAQ guide for epa / dot / nhtsa compliance: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and…",/faq/import-and-certification-faq/epa-dot-nhtsa-compliance/,/faq/import-and-certification-faq/epa-dot-nhtsa-compliance/,/faq/import-and-certification-faq/,FAQ Center > Import & Certification FAQ > EPA / DOT / NHTSA Compliance,0,10,3,CollectionPage,/faq/import-and-certification-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,3,Import & Certification FAQ,Homologation & Type Approval,Homologation & Type Approval,Homologation & Type Approval FAQ | B2B Motorcycle Guide,"B2B FAQ guide for homologation & type approval: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and…",/faq/import-and-certification-faq/homologation-and-type-approval/,/faq/import-and-certification-faq/homologation-and-type-approval/,/faq/import-and-certification-faq/,FAQ Center > Import & Certification FAQ > Homologation & Type Approval,0,10,2,CollectionPage,/faq/import-and-certification-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,3,Import & Certification FAQ,VIN / WMI / Registration Documents,VIN / WMI / Registration Documents,VIN / WMI / Registration Documents FAQ | B2B Motorcycle…,"B2B FAQ guide for vin / wmi / registration documents: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and…",/faq/import-and-certification-faq/vin-wmi-registration-documents/,/faq/import-and-certification-faq/vin-wmi-registration-documents/,/faq/import-and-certification-faq/,FAQ Center > Import & Certification FAQ > VIN / WMI / Registration Documents,0,10,2,CollectionPage,/faq/import-and-certification-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
group,planned,3,Import & Certification FAQ,CKD / SKD / CBU Compliance,CKD / SKD / CBU Compliance,CKD / SKD / CBU Compliance FAQ | B2B Motorcycle Guide,"B2B FAQ guide for ckd / skd / cbu compliance: buyer questions, practical checks, sourcing risks, and RFQ details for motorcycle importers and distributors.",/faq/import-and-certification-faq/ckd-skd-cbu-compliance/,/faq/import-and-certification-faq/ckd-skd-cbu-compliance/,/faq/import-and-certification-faq/,FAQ Center > Import & Certification FAQ > CKD / SKD / CBU Compliance,0,10,2,CollectionPage,/faq/import-and-certification-faq/,"Introduce the group, summarize key buyer concerns, and list all related FAQ question pages."
section,planned,4,OEM / ODM Motorcycle FAQ,,OEM / ODM Motorcycle FAQ,OEM / ODM Motorcycle FAQ | B2B Motorcycle FAQ,"Explore B2B motorcycle FAQ topics about oem / odm motorcycle faq, including buyer questions, sourcing decisions, import risks, and RFQ preparation.",/faq/oem-odm-motorcycle-faq/,/faq/oem-odm-motorcycle-faq/,/faq/,FAQ Center > OEM / ODM Motorcycle FAQ,7,70,13,CollectionPage,/faq/oem-odm-motorcycle-faq/private-label-motorcycle-branding/ | /faq/oem-odm-motorcycle-faq/logo-color-and-sticker-customization/ | /faq/oem-odm-motorcycle-faq/model-configuration-customization/ | /faq/oem-odm-motorcycle-faq/new-model-development/ | /faq/oem-odm-motorcycle-faq/oem-odm-moq/ | /faq/oem-odm-motorcycle-faq/packaging-and-manual-customization/,"Introduce the section, link to group pages, and surface high-intent P1 FAQs."
